Date,Rating
2024-12-22,5
2024-12-21,5
2024-12-21,5
2024-12-21,3
2024-12-18,5
2024-12-16,5
2024-12-07,4
2024-12-06,5
2024-12-04,5
2024-11-30,4
2024-11-27,5
2024-11-16,5
2024-11-16,3
2024-11-15,5
2024-11-11,5
2024-11-09,4
2024-11-07,5
2024-11-07,5
2024-11-03,5
2024-11-03,5
2024-10-30,5
2024-10-27,5
2024-10-27,5
2024-10-26,5
2024-10-25,5
2024-10-24,5
2024-10-20,2
2024-10-16,5
2024-10-16,5
2024-10-16,4
2024-10-13,3
2024-10-12,4
2024-10-11,5
2024-10-06,2
2024-10-05,5
2024-10-02,5
2024-09-29,4
2024-09-29,4
2024-09-22,5
2024-09-22,5
2024-09-21,5
2024-09-15,4
2024-09-14,3
2024-09-14,2
2024-09-14,3
2024-09-07,5
2024-09-02,4
2024-09-01,4
2024-09-01,5
2024-09-01,3
2024-08-31,5
2024-08-26,5
2024-08-25,5
2024-08-23,4
2024-08-19,5
2024-08-17,4
2024-08-16,5
2024-08-11,5
2024-08-10,5
2024-08-09,5
2024-08-08,5
2024-08-07,5
2024-07-29,5
2024-07-29,5
2024-07-28,5
2024-07-28,5
2024-07-20,5
2024-07-20,5
2024-07-20,5
2024-07-10,4
2024-07-06,5
2024-06-30,5
2024-06-29,2
2024-06-29,5
2024-06-28,5
2024-06-27,4
2024-06-26,5
2024-06-23,3
2024-06-15,5
2024-06-09,5
2024-06-09,5
2024-06-07,5
2024-06-06,5
2024-06-02,5
2024-06-01,5
2024-06-01,5
2024-05-31,5
2024-05-27,4
2024-05-23,4
2024-05-23,5
2024-05-19,3
2024-05-19,4
2024-05-18,5
2024-05-18,5
2024-05-16,2
2024-05-16,5
2024-05-13,1
2024-05-13,5
2024-05-13,4
2024-05-13,5
2024-05-13,5
2024-05-13,4
2024-05-12,5
2024-05-12,5
2024-05-11,4
2024-05-11,5
2024-05-08,4
2024-05-03,5
2024-04-28,5
2024-04-27,4
2024-04-21,5
2024-04-14,2
2024-04-14,5
2024-04-04,5
2024-04-01,5
2024-04-01,5
2024-03-30,5
2024-03-29,5
2024-03-28,5
2024-03-28,5
2024-03-27,5
2024-03-24,5
2024-03-18,5
2024-03-17,5
2024-03-16,5
2024-03-14,5
2024-03-13,5
2024-03-10,5
2024-03-09,4
2024-03-09,5
2024-03-09,4
2024-03-07,5
2024-03-03,5
2024-03-03,5
2024-02-26,5
2024-02-23,4
2024-02-21,4
2024-02-19,2
2024-02-17,5
2024-02-17,2
2024-02-16,5
2024-02-15,5
2024-02-15,5
2024-02-15,5
2024-02-11,5
2024-02-11,5
2024-02-09,4
2024-02-08,5
2024-02-05,5
2024-02-05,5
2024-02-04,4
2024-02-04,4
2024-02-04,1
2024-01-28,5
2024-01-28,5
2024-01-27,5
2024-01-27,5
2024-01-27,5
2024-01-27,4
2024-01-26,5
2024-01-25,5
2024-01-25,5
2024-01-25,5
2024-01-24,5
2024-01-22,5
2024-01-21,5
2024-01-19,5
2024-01-18,5
2024-01-17,5
2024-01-17,5
2024-01-15,3
2024-01-13,5
2024-01-13,5
2024-01-07,5
2024-01-07,5
2024-01-07,4
2024-01-01,5
2024-01-01,3
2023-12-31,5
2023-12-31,5
2023-12-25,5
2023-12-25,4
2023-12-24,5
2023-12-24,5
2023-12-23,2
2023-12-23,5
2023-12-23,5
2023-12-17,5
2023-12-16,5
2023-12-10,5
2023-12-10,5
2023-12-10,5
2023-12-09,4
